manufacture,bssid,ip,idle_time,site_id,rx_rate,ap_mac,psk_id,dual_band,vlan_id,num_locating_aps,uptime,ssid,rx_pkts,proto,tx_retries,hostname,tx_bps,key_mgmt,channel,rssi,username,family,map_id,airwatch,rx_retries,band,mac,snr,is_guest,tx_bytes,annotation,tx_rate,rx_bps,_id,tx_pkts,rx_bytes,_ttl,ap_id,y,x,model,wlan_id,os,last_seen
Apple,5c5b35372fd3,10.122.43.30,22,44a479b8-c32f-4326-b2ad-39c79e4e7ac7,18.0,5c5b353eea4c,,False,1,1,12455,REMO,1235,ac,17,CAMOU4468IPM103,0,WPA2-EAP-FT/CCMP,149,-56,CAMOU4468IPM103,iPad,d8921b45-ec53-4c90-b34d-77cc4ce0671e,,150,5,9c84bf3c5cd5,36,False,341407,unknown,173.3,0,9c84bf3c5cd5,773,279743,299,00000000-0000-0000-1000-5c5b353eea4c,343.08540648560273,413.9293884042387,Mini 4 + Cellular,1bf4d27b-f09f-4c74-a3bc-dddfeb95f2b3,12.0.1,1542756759
Apple,5c5b35372fd3,10.122.43.57,85,44a479b8-c32f-4326-b2ad-39c79e4e7ac7,18.0,5c5b353eea4c,,False,1,1,24644,REMO,1981,ac,483,CAMOU4468IPM105,0,WPA2-EAP-FT/CCMP,149,-60,CAMOU4468IPM105,iPad,d8921b45-ec53-4c90-b34d-77cc4ce0671e,,283,5,9c84bf48fd8c,32,False,404434,unknown,117.0,0,9c84bf48fd8c,1053,337853,299,00000000-0000-0000-1000-5c5b353eea4c,438.8206292848808,513.4685089298241,Mini 4 + Cellular,1bf4d27b-f09f-4c74-a3bc-dddfeb95f2b3,12.0.1,1542756759
Apple,5c5b35372fd3,10.122.43.51,31,44a479b8-c32f-4326-b2ad-39c79e4e7ac7,18.0,5c5b353eea4c,,False,1,1,12134,REMO,2317,n,149,CAMOU4468INV01,0,WPA2-EAP-FT/CCMP,149,-70,CAMOU4468INV01,iPhone,d8921b45-ec53-4c90-b34d-77cc4ce0671e,,5,5,08740259e6a9,22,False,2744304,unknown,65.0,0,08740259e6a9,2340,308741,299,00000000-0000-0000-1000-5c5b353eea4c,552.4410245777439,526.5203390790066,5s Americas,1bf4d27b-f09f-4c74-a3bc-dddfeb95f2b3,12.0.1,1542756759
Samsung Electronics Co.,5c5b35372ae1,192.168.103.130,0,44a479b8-c32f-4326-b2ad-39c79e4e7ac7,18.0,5c5b353ee9ca,,False,100,1,575646,DATA_TRANSFER_NETWORK,1184365,n,35116,,199,WPA2-PSK/CCMP,6,-40,,,d8921b45-ec53-4c90-b34d-77cc4ce0671e,,21588,24,00c3f435c88a,51,False,558487477,unknown,130.0,1591,00c3f435c88a,715386,193464666,298,00000000-0000-0000-1000-5c5b353ee9ca,327.28120144291495,1056.4074782810255,,312c05b9-8ea5-4622-b4ee-22cfb656a86c,,1542756738
Apple,5c5b35372af1,192.168.102.204,30,44a479b8-c32f-4326-b2ad-39c79e4e7ac7,192.5,5c5b353ee9ca,,False,100,1,167686,DATA_TRANSFER_NETWORK,24968,ac,2087,iPhone,0,WPA2-PSK/CCMP,36,-50,,iPhone,d8921b45-ec53-4c90-b34d-77cc4ce0671e,,41,5,d81c79f3aedb,42,False,10226933,unknown,192.5,0,d81c79f3aedb,15534,3965105,295,00000000-0000-0000-1000-5c5b353ee9ca,338.0160952452901,1071.1650100409627,,312c05b9-8ea5-4622-b4ee-22cfb656a86c,12.0,1542756738
Apple,5c5b35372a93,10.122.43.25,20,44a479b8-c32f-4326-b2ad-39c79e4e7ac7,18.0,5c5b353ee9c0,,False,1,1,9432,REMO,23880,ac,1714,iPad,0,WPA2-EAP-FT/CCMP,64,-59,CAMOU4468IPM101,iPad,d8921b45-ec53-4c90-b34d-77cc4ce0671e,,269,5,9c84bf40f697,33,False,36289281,unknown,173.3,0,9c84bf40f697,26472,6773477,282,00000000-0000-0000-1000-5c5b353ee9c0,269.9098119502679,743.7805004199845,Mini 4 + Cellular,1bf4d27b-f09f-4c74-a3bc-dddfeb95f2b3,12.0.1,1542756709
LG Electronics (Mobile Communications),5c5b35372e82,192.168.103.108,12,44a479b8-c32f-4326-b2ad-39c79e4e7ac7,18.0,5c5b353eea29,,False,100,1,684909,PRODUCT_DEMO_NETWORK,452662,ac,707,android-267b0f737818d3ff,0,WPA2-PSK/CCMP,161,-54,,,d8921b45-ec53-4c90-b34d-77cc4ce0671e,,7300,5,48605f66a3b5,38,False,437313994,unknown,173.3,0,48605f66a3b5,332194,74452605,281,00000000-0000-0000-1000-5c5b353eea29,210.50433292705375,1117.827603967694,,8d977dd7-395f-4454-a90e-a2163c3aaa8e,Linux,1542756702
Samsung Electronics Co.,5c5b35372af1,192.168.103.44,6,44a479b8-c32f-4326-b2ad-39c79e4e7ac7,6.0,5c5b353ee9ca,,False,100,1,44914,DATA_TRANSFER_NETWORK,122804,ac,6611,Galaxy-Tab-S4,0,WPA2-PSK/CCMP,36,-40,,,d8921b45-ec53-4c90-b34d-77cc4ce0671e,,2218,5,58b10f0639ca,52,False,749433531,unknown,144.4,0,58b10f0639ca,271275,29807714,280,00000000-0000-0000-1000-5c5b353ee9ca,309.3216266419662,1059.670395937153,,312c05b9-8ea5-4622-b4ee-22cfb656a86c,Linux,1542756738
Murata Manufacturing Co.,5c5b35372af1,192.168.102.70,14,44a479b8-c32f-4326-b2ad-39c79e4e7ac7,216.5,5c5b353ee9ca,,False,100,1,44923,DATA_TRANSFER_NETWORK,117984,ac,51442,Galaxy-S9,0,WPA2-PSK/CCMP,36,-54,,,d8921b45-ec53-4c90-b34d-77cc4ce0671e,,4002,5,8c45001a9195,38,False,509726123,unknown,192.5,0,8c45001a9195,185666,21611056,279,00000000-0000-0000-1000-5c5b353ee9ca,333.52700714465027,1018.3983959416232,,312c05b9-8ea5-4622-b4ee-22cfb656a86c,Linux,1542756738
Murata Manufacturing Co.,5c5b35372af1,192.168.102.73,4,44a479b8-c32f-4326-b2ad-39c79e4e7ac7,216.5,5c5b353ee9ca,,False,100,1,44913,DATA_TRANSFER_NETWORK,184352,ac,29412,Galaxy-Note9,0,WPA2-PSK/CCMP,36,-42,,,d8921b45-ec53-4c90-b34d-77cc4ce0671e,,9298,5,449160e3bea4,50,False,768605075,unknown,192.5,0,449160e3bea4,279753,32360049,279,00000000-0000-0000-1000-5c5b353ee9ca,329.5268302610095,1051.155511290431,,312c05b9-8ea5-4622-b4ee-22cfb656a86c,Linux,1542756738
Apple,5c5b35372e82,192.168.102.233,29,44a479b8-c32f-4326-b2ad-39c79e4e7ac7,173.3,5c5b353eea29,,False,100,1,1904534,PRODUCT_DEMO_NETWORK,225685,ac,19635,iPad,0,WPA2-PSK/CCMP,161,-48,,iPad,d8921b45-ec53-4c90-b34d-77cc4ce0671e,,281,5,8489ad3b19cf,44,False,311386210,unknown,173.3,0,8489ad3b19cf,184244,33219643,278,00000000-0000-0000-1000-5c5b353eea29,226.02920069630173,1070.8849804304432,"Pro 9.7""",8d977dd7-395f-4454-a90e-a2163c3aaa8e,9.3,1542756703
Apple,5c5b35372a93,10.122.43.48,35,44a479b8-c32f-4326-b2ad-39c79e4e7ac7,18.0,5c5b353ee9c0,,False,1,1,11868,REMO,16927,ac,936,CAMOU4468IPM102,0,WPA2-EAP-FT/CCMP,64,-34,CAMOU4468IPM102,iPad,d8921b45-ec53-4c90-b34d-77cc4ce0671e,,286,5,9c84bf48e9e0,58,False,20939622,unknown,173.3,0,9c84bf48e9e0,16622,4168279,251,00000000-0000-0000-1000-5c5b353ee9c0,315.74903523114335,780.3813308534143,Mini 4 + Cellular,1bf4d27b-f09f-4c74-a3bc-dddfeb95f2b3,12.1,1542756709
Apple,5c5b35372af1,192.168.103.192,294,44a479b8-c32f-4326-b2ad-39c79e4e7ac7,6.5,5c5b353ee9ca,,False,100,1,2124,DATA_TRANSFER_NETWORK,8355,ac,4126,iPhone,0,WPA2-PSK/CCMP,36,-93,,iPhone,d8921b45-ec53-4c90-b34d-77cc4ce0671e,,639,5,f0989d66d190,0,False,14229637,unknown,43.3,0,f0989d66d190,8734,7599516,217,00000000-0000-0000-1000-5c5b353ee9ca,274.991629924923,1021.1579494454018,X,312c05b9-8ea5-4622-b4ee-22cfb656a86c,,1542756676
manufacture,bssid,ip,idle_time,site_id,rx_rate,ap_mac,psk_id,dual_band,vlan_id,num_locating_aps,uptime,ssid,rx_pkts,proto,tx_retries,hostname,tx_bps,key_mgmt,channel,rssi,username,family,map_id,airwatch,rx_retries,band,mac,snr,is_guest,tx_bytes,annotation,tx_rate,rx_bps,_id,tx_pkts,rx_bytes,_ttl,ap_id,y,x,model,wlan_id,os,last_seen
LG Electronics (Mobile Communications),5c5b35373542,192.168.100.83,8,6cca9f67-b558-4f9b-8b0d-554af61d41bb,18.0,5c5b353eeadd,,False,100,1,3069793,PRODUCT_DEMO_NETWORK,2261820,ac,387684,android-39b05b2301c441e9,0,WPA2-PSK/CCMP,36,-66,,,5894082b-c38d-4bc9-a929-f84a3af5641e,,65350,5,08d46ab52223,24,False,5271134595,unknown,86.6,0,08d46ab52223,4360435,459512040,299,00000000-0000-0000-1000-5c5b353eeadd,381.7454687406757,389.65013424019656,,8d977dd7-395f-4454-a90e-a2163c3aaa8e,Linux,1542756742
LG Electronics (Mobile Communications),5c5b35372a62,192.168.100.86,1,6cca9f67-b558-4f9b-8b0d-554af61d41bb,18.0,5c5b353ee9bb,,False,100,1,1596982,PRODUCT_DEMO_NETWORK,996119,ac,18512,android-5e0fe614241dbbfb,519,WPA2-PSK/CCMP,161,-75,,,5894082b-c38d-4bc9-a929-f84a3af5641e,,19280,5,08d46ad34a15,15,False,740130372,unknown,86.6,815,08d46ad34a15,853507,236598597,298,00000000-0000-0000-1000-5c5b353ee9bb,307.4660412369266,261.4133178696155,,8d977dd7-395f-4454-a90e-a2163c3aaa8e,Linux,1542756716
